"country","step","year","irw_c","irw_b","fw_c","fw_b","total"
"IT",13,2007,1838651,1981000,699168,7360994,11879813
"IT",14,2008,1750086,2072840,773026,8134121,12730074
"IT",15,2009,1795509,1688249,912330,7490716,11886805
"IT",16,2010,1786633,1593877,1058987,7099611,11539108
"IT",17,2011,1600151,522760,994669,6295317,9412897
"IT",18,2012,1802941,1205639,1066462,7393464,11468506
"IT",19,2013,1449521,1092101,1439266,7092404,11073292
"IT",20,2014,1565422,1041572,1513411,6664797,10785202
"IT",21,2015,1650452,965436,1114124,3992637,7722649
"LV",1,2000,7364829,3351354,799639,626469,12142290
"LV",2,2001,6855008,3167615,788566,617681,11428870
"LV",3,2002,7228736,4022823,614493,484258,12350310
"LV",4,2003,6492646,5323785,452364,529426,12798220
"LV",5,2004,5589480,5373641,679148,223281,11865550
"LV",6,2005,7695565,3838181,698274,223060,12455080
"LV",7,2006,6540577,3444610,613471,210381,10809040
"LV",8,2007,6528327,3693589,565902,376962,11164780
"LV",9,2008,6544198,2667725,288805,382862,9883590
"LV",10,2009,7519302,2346117,908078,1059424,11832920
"LV",11,2010,7972872,3684395,1133770,1502904,14293940
"LV",12,2011,9236204,3503999,610711,684606,14035520
"LV",13,2012,6256208,5506631,485984,728977,12977800
"LV",14,2013,8405446,3170942,273372,1052840,12902600
"LV",15,2014,9226436,3854463,209993,1256569,14547460
"LV",16,2015,9792365,3710510,243417,1217087,14963380
"LT",1,1996,3858400,968800,1981216,667584,7476000
"LT",2,1997,2777600,1702400,1286684,953316,6720000
"LT",3,1998,2149280,2004800,737822,1660098,6552000
"LT",4,1999,2139200,2116800,741103,1638897,6636000
"LT",5,2000,2721600,1814400,808138,1795862,7140000
"LT",6,2001,2531200,2195200,1282778,1550822,7560000
"LT",7,2002,3080000,2318400,1437059,1564541,8400000
"LT",8,2003,3292800,2256800,1480691,1621709,8652000
"LT",9,2004,3203200,2240000,1408000,1548800,8400000
"LT",10,2005,3292800,2212000,1357926,1537274,8400000
"LT",11,2006,2766400,2430400,1258498,1776702,8232000
"LT",12,2007,3292800,2184000,1105324,1565876,8148000
"LT",13,2008,2547881,2170204,1051659,2294256,8064000
"LT",14,2009,2377797,1740132,1180657,2261415,7560000
"LT",15,2010,3172442,2012749,651603,1303206,7140000
"LT",16,2011,3196893,1932336,529617,1061154,6720000
"LT",17,2012,3175249,1949636,539666,1055449,6720000
"LT",18,2013,3215520,1961120,772800,1949920,7899360
"LT",19,2014,3476480,2162720,685440,1908480,8233120
"LT",20,2015,3038560,1781920,827680,1535520,7183680
"LU",1,1999,120300,121400,1100,16900,259700
"LU",2,2000,120300,121400,1100,16900,259700
"LU",3,2001,117810,133104,3417,15218,269549
"LU",4,2002,115392,125928,1679,14045,257044
"LU",5,2003,123620,115280,4280,14120,257300
"LU",6,2004,90160,173690,5370,7390,276610
"LU",7,2005,120077,116747,7153,4969,248946
"LU",8,2006,132035,122742,7865,5224,267866
"LU",9,2007,96861,173392,2727,17842,290822
"LU",10,2008,96861,235388,2727,17842,352818
"LU",11,2009,113028,144246,3780,12733,273787
"LU",12,2010,113412,144738,3845,12951,274946
"LU",13,2011,107157,136753,4011,13511,261432
"LU",14,2012,107157,136753,4011,13511,261432
"LU",15,2013,138723,104774,28395,37786,309678
"LU",16,2014,152782,133511,25691,40708,352692
"LU",17,2015,159949,151465,28359,41185,380958
"NL",1,1997,808510,340180,0,143295,1291985
"NL",2,1998,753755,263290,0,174750,1191795
"NL",3,1999,758415,269115,0,188730,1216260
"NL",4,2000,751425,272610,0,186400,1210435
"NL",5,2001,633760,215525,0,158440,1007725
"NL",6,2002,608130,210865,0,158440,977435
"NL",7,2003,633760,244650,58250,279600,1216260
"NL",8,2004,640206,216913,58250,279600,1194968
"NL",9,2005,707155,248145,58250,279600,1293150
"NL",10,2006,698673,252755,58250,279600,1289278
"NL",11,2007,600252,252581,58250,279600,1190684
"NL",12,2008,659543,304028,58250,279600,1301420
"NL",13,2009,569421,276524,58250,279600,1183795
"NL",14,2010,619969,301072,58250,279600,1258891
"NL",15,2011,548579,252889,58250,279600,1139318
"NL",16,2012,517144,257232,58250,279600,1112226
"NL",17,2013,689214,263989,58250,279600,1291053
"NL",18,2014,703544,338130,82715,333190,1457578
"NL",19,2015,668717,333559,82715,333190,1418181
"PL",1,2000,22573200,6813600,876000,967200,31230000
"PL",2,2001,20764800,7285200,891600,1077600,30019200
"PL",3,2002,22467600,7526400,1326000,1244400,32564400
"PL",4,2003,23958000,8686800,2306400,2052000,37003200
"PL",5,2004,26102400,9102000,2098800,1976400,39279600
"PL",6,2005,25628280,8609280,2005800,2090040,38333400
"PL",7,2006,25986600,8533560,2097600,2243040,38860800
"PL",8,2007,30575426,8377724,2147602,2020723,43121476
"PL",9,2008,28284822,8278682,2288030,2276570,41128105
"PL",10,2009,28104122,8466185,2487552,2497147,41555006
"PL",11,2010,29352851,8258750,2481965,2467334,42560900
